Date, Area, Obs, Grid, Alt, Aspect, Incline, Location, Air Temp, Wind Dir, Wind Speed, Cloud, Precip Code, Drift, Total Snow Depth, Foot Pen, Ski Pen, Rain at 900, Summit Air Temp, Summit Wind Dir, Summit Wind Speed, Observed aval. hazard, Forecast aval. hazard, Avalanche Code, Max Temp Grad, Max Hardness Grad, No Settle, Snow Index, Insolation, Crystals, Wetness, AV Cat, Snow Temp, Comments
"2018-02-27 11:10:00","Glencoe","PM","257506","920","50","30","Meal a Bhuiridh","-6.70","75.00","18.00","100","4 - Light Showers","1","120","0.00","0","0","-7.00","90","28","Low","Moderate","0","1.80","4","198","0","8","0","1","0","-6.70","",
"2018-02-26 11:40:00","Glencoe","PM","251503","1100","355","28","Meal a Bhuiridh","-6.40","140.00","17.00","100","2 - Trace","1","150","0.00","0","0","-6.00","90","26","Low","Low","0","1.60","1","196","0","8","0","1","0","-6.40","",
"2018-02-25 11:35:00","Glencoe","PM","257507","903","43","21","Meall a Bhuiridh","-2.30","124.00","5.00","15","0 - None","0","110","0.00","0","0","0.00","120","16","Low","Low","0","1.30","4","196","0","8","10","1","0","-4.40","",
"2018-02-24 11:30:00","Glencoe","PM","253505","1050","15","26","Meall a Bhuiridh","-6.70","150.00","17.00","35","0 - None","0","180","0.00","0","0","-5.00","125","24","Low","Low","0","1.80","4","196","0","8","0","1","0","-7.20","",
"2018-02-23 11:20:00","Glencoe","PM","252504","1102","5","21","Meall a Bhuiridh","-4.20","180.00","3.00","100","0 - None","0","100","0.00","0","0","-5.00","150","39","Low","Low","0","1.30","2","196","0","8","0","1","0","-4.10","",
"2018-02-22 11:55:00","Glencoe","PM","252505","1000","10","24","Meall a Bhuiridh","-3.80","180.00","20.00","100","0 - None","0","100","0.00","0","0","-4.00","200","24","Low","Low","0","1.80","2","196","0","8","0","1","0","-3.50","",
"2018-02-21 11:30:00","Glencoe","BF","156547","550","90","25","The Lost Valley","1.60","220.00","1.00","50","0 - None","0","39","0.00","0","0","-2.00","200","10","Low","Low","0","1.20","2","196","0","8","0","1","0","-0.10","Stable refrozen snowpack. ",
"2018-02-20 11:20:00","Glencoe","BF","240501","1050","30","20","Creise","-0.10","330.00","5.00","80","2 - Trace","0","120","15.00","0","0","-1.00","280","8","Low","Low","0","0.30","2","194","0","8","0","1","0","0.00","",
"2018-02-19 12:30:00","Glencoe","AP","255503","1000","45","30","Meall a Buiridh","0.00","220.00","10.00","100","0 - None","0","80","20.00","0","1","3.00","200","17","Considerable -","Moderate","1021","0.20","1","194","0","8","0","2","0","0.00","",
"2018-02-18 12:30:00","Glencoe","AP","255503","1000","45","30","Meall a Buiridh","-0.80","180.00","20.00","80","4 - Light Showers","1","80","30.00","0","0","0.00","160","25","Considerable +","Considerable -","1099","0.30","3","190","0","8","0","1","0","-2.30","Reactive shear at 20 cms",
"2018-02-17 11:20:00","Glencoe","BF","257501","960","70","20","Meall a Bhuiridh, by the Flypaper","-0.80","320.00","5.00","100","4 - Light Showers","1","110","15.00","0","0","-2.00","240","20","Considerable +","Considerable +","8800","0.40","3","186","0","8","0","1","0","-1.20","Reactive shear at 30cm ",
"2018-02-16 12:00:00","Glencoe","BF","184543","850","360","15","Buachaille Etive Beag","-0.90","240.00","20.00","100","4 - Light Showers","1","300","15.00","0","0","-2.50","240","30","High","High","1012","0.90","2","182","0","8","0","1","0","-1.70","Reactive shear at 26cm ",
"2018-02-15 12:59:00","Glencoe","PM/BF","208575","680","86","32","Stob Chic Martin","-0.70","230.00","20.00","100","6 - Snow Showers","1","150","15.00","0","0","-4.00","230","50","Considerable +","Considerable +","8800","0.40","1","176","0","8","5","1","0","-0.90","Stubborn shear of graupel at 10cm ",
"2018-02-14 11:45:00","Glencoe","PM","138549","850","10","28","Stob Coire nam Beith","-1.30","195.00","25.00","100","6 - Snow Showers","1","170","35.00","0","0","-4.00","180","55","Considerable +","Considerable +","8800","1.50","2","170","0","6","0","1","0","-1.30","",
"2018-02-13 11:35:00","Glencoe","PM","252503","1100","20","22","Meall a Bhuiridh","-5.30","320.00","12.00","100","0 - None","1","120","12.00","0","0","-6.00","247","24","Considerable +","Considerable +","1011","0.90","1","170","0","6","0","1","0","-5.10","",
"2018-02-12 12:20:00","Glencoe","PM","257507","924","90","31","Meall a Bhuiridh","-3.10","250.00","5.00","100","6 - Snow Showers","1","120","30.00","0","0","-6.00","225","25","Considerable +","Considerable +","8800","1.10","2","164","0","6","5","1","0","-3.10","Field shears tests show touchy failures",
"2018-02-11 11:20:00","Glencoe","PM","251503","1089","150","37","Meall a Bhuiridh","-5.70","303.00","10.00","70","4 - Light Showers","1","80","35.00","0","0","-7.00","300","36","Considerable -","Considerable +","4400","1.30","3","160","0","6","0","1","0","-5.20","Field test showed several Touchy to Reactive shears.",
"2018-02-10 11:30:00","Glencoe","PM","257507","924","87","31","Meall a Bhuiridh","0.30","260.00","5.00","100","4 - Light Showers","1","150","15.00","0","1","-2.00","247","30","Considerable +","Considerable -","1021","0.80","1","156","0","6","0","1","0","0.00","Small loose snow avalanches noted on Easterly aspects.",
